scenarioId,scenarioName,category,difficulty,gtsProcessArea,sourceList,partnerId,partnerName,country,docNumber,docType,material,netValue,expectedMatchFound,expectedMatchScore,expectedMatchBasis,initialScreeningStatus,expectedOfficerAction,expectedReasonCode,expectedComment,expectedGtsStatus,expectedS4Status,expectedEwmStatus,learningObjective,commonMistake,consultantNote,evidenceStatus
SPL-001,"Exact Sanctioned-Party Name Match (UN Consolidated)","Sanctioned Party List Screening",Beginner,"SPL Screening / Legal Control",UN_Consolidated,NX-CUST-10001,"GEDO HAMDAN AHMED",SD,NX-SO-800001,Standard Sales Order (TA),NX-MAT-100001,142500,true,100,"Exact 100% full-name identity against UN Consolidated Sanctions List","Potential match — manual review required",CONFIRM_BLOCK,RC02,"Confirmed exact identity match against UN Security Council Consolidated List (SDi.007 Sudan Sanctions). Permanent legal block enforced.",CONFIRMED_BLOCK,"PERMANENT HARD BLOCK: Rejection Reason '98' (Compliance Block) set in VBAK/VBAP.","CANCELLED: Inbound/Outbound delivery rejected. Stock released back to available inventory.","Understand how SAP GTS flags exact full-name identities from the UN Security Council Consolidated List, blocks downstream sales documents via CIF RFC, and requires mandatory officer confirmation before setting permanent hard rejection codes in S/4HANA.","Assuming an exact name match means the software should automatically cancel the order without human review. Trade law requires human legal review and logged rationale before permanent commercial disruption.","An exact name match is not automatically a confirmed identity. The compliance officer must compare additional identifiers, review source evidence, and record a reasoned decision.","Verified against uploaded source snapshot"
SPL-002,"Exact OFAC SDN Match (Corporate Entity)","Sanctioned Party List Screening",Beginner,"Vendor Screening / Procurement Legal Control",OFAC_SDN,NX-VEND-20001,"AEROCARIBBEAN AIRLINES",CU,NX-PO-450001,Standard Purchase Order (NB),NX-MAT-100002,88000,true,100,"Exact 100% full-name identity against OFAC SDN List (Program: CUBA)","Potential match — manual review required",CONFIRM_BLOCK,RC02,"Confirmed direct entity match with OFAC SDN list (Ent Num 36, Program CUBA). Inbound procurement purchase order blocked under primary sanctions compliance.",CONFIRMED_BLOCK,"PERMANENT HARD BLOCK: Rejection Reason '98' (Compliance Block) set in VBAK.","CANCELLED: Inbound/Outbound delivery rejected. Stock released back to available inventory.","Learn how SAP GTS screens vendor master data and purchase orders (ME21N/ME22N) against OFAC SDN entities, preventing illicit inbound procurement and payment releases.","Failing to realize that procurement transactions (Purchase Orders) are subject to SPL screening just as rigorously as export sales orders.","Corporate sanctions screening must verify corporate registration and primary operating jurisdiction against OFAC program parameters.","Verified against uploaded source snapshot"
SPL-003,"Alias Match with Primary Entity Resolution","Sanctioned Party List Screening",Intermediate,"Alias Screening / Entity Resolution",OFAC_NonSDN_Aliases,NX-CUST-10002,"ABU TAIR, Mohammed Mahmud",IL,NX-SO-800002,Standard Sales Order (TA),NX-MAT-100001,46200,true,98,"Exact match against official alias: ""ABU TAIR, Mohammed Mahmud"" (resolves to primary entity: ABU TEIR, Mohammed)","Potential match — manual review required",CONFIRM_BLOCK,RC02,"Confirmed alias match against official OFAC Non-SDN record (Ent Num 9640, primary entity ABU TEIR, Mohammed). Primary program NS-PLC enforced.",CONFIRMED_BLOCK,"PERMANENT HARD BLOCK: Rejection Reason '98' (Compliance Block) set in VBAK.","CANCELLED: Inbound/Outbound delivery rejected. Stock released back to available inventory.","Master the multi-table relational resolution in SAP GTS where screening against alternate names (/SAPSLL/TSPLAL) automatically links back to the master entity (/SAPSLL/TSPL) and displays linked address records.","Viewing the matched alias in isolation without navigating to the primary entity record to inspect the comprehensive sanctions program and DOB remarks.","An alias match requires reviewing the primary record's official scope before taking final action.","Verified against uploaded source snapshot"
SPL-004,"Alias with Spelling & Transliteration Variation","Sanctioned Party List Screening",Intermediate,"Fuzzy Screening / Transliteration Handling",OFAC_NonSDN_Aliases,NX-CUST-10003,"Mohammad Mahmoud Abou Tayr",IL,NX-SO-800003,Standard Sales Order (TA),NX-MAT-100001,30800,true,92,"High-confidence fuzzy alias match against official alias: ""ABOU TAYR, Mohammad Mahmoud"" (Alt Num: 9153)","Potential match — manual review required",ESCALATE,RC04,"Fuzzy transliteration variation matches official alias Alt Num 9153. Escalated to Senior Compliance Director for secondary document verification.",UNDER_REVIEW,"COMPLIANCE REVIEW IN PROGRESS: Feeder system delivery block remains active pending four-eyes approval.","ON HOLD: Warehouse execution suspended pending compliance review completion.","Distinguish between exact matches, alias matches, and fuzzy transliteration similarities. Learn why four-eyes escalation is best practice for high-similarity fuzzy hits.","Discarding a potential hit simply because punctuation (commas) or name token order (Given Name vs Surname) differs from the master record.","Transliteration differences in Arabic, Cyrillic, or Asian names are common in international trade. Officers must not dismiss matches based solely on punctuation or word order.","Verified against uploaded source snapshot"
SPL-005,"Address Supporting Evidence Resolution","Sanctioned Party List Screening",Advanced,"Address Screening & Multi-Signal Adjudication",OFAC_NonSDN_Addresses,NX-CUST-10004,"Jamileh Abdullah Al-Shanti",PS,NX-SO-800004,Standard Sales Order (TA),NX-MAT-100001,56400,true,96,"High-confidence composite match: Name identity + corroborating geographic location (Gaza / Palestinian Territories, Address Num: 12128)","Potential match — manual review required",CONFIRM_BLOCK,RC02,"Composite match verified: Name matches Ent Num 9641 and address matches Address Num 12128 (Gaza / Palestinian Territories). POB remarks (Jabalia Camp) corroborated.",CONFIRMED_BLOCK,"PERMANENT HARD BLOCK: Rejection Reason '98' (Compliance Block) set in VBAK.","CANCELLED: Inbound/Outbound delivery rejected. Stock released back to available inventory.","Understand how SAP GTS evaluates address components (City, Country, Postal Code) as supporting evidence alongside name screening to confirm or refute identity.","Relying on name matching alone or assuming address data alone proves identity. Address serves as corroborating evidence in composite scoring.","Address data alone does not create a sanctions block, but matching city/country data strongly corroborates a potential name match.","Verified against uploaded source snapshot"
SPL-006,"False Positive Due to Distinct Identifiers","Sanctioned Party List Screening",Beginner,"False-Positive Resolution / Audit Justification",OFAC_SDN,NX-CUST-10005,"BANCO NACIONAL DE CREDITO SA",ES,NX-SO-800005,Standard Sales Order (TA),NX-MAT-100001,15400,true,82,"Partial fuzzy name similarity (82%) with Cuban state entity 'BANCO NACIONAL DE CUBA' (Ent Num: 306)","Potential match — manual review required",RELEASE,RC01,"False positive identity disproved. Customer is a regulated Spanish commercial financial institution in Madrid (Tax ID: ES-A28001928), completely distinct from the Cuban government bank (Ent Num 306).",RELEASED,"CLEARED: Delivery Block 01 removed in VBAK/VBEP. Feeder status synced via RFC.","RELEASED: Warehouse Outbound Delivery created. Picking waves activated in EWM.","Learn how to investigate and safely release a false positive match by comparing jurisdiction, corporate registry data, and tax identification, while ensuring mandatory reason codes and comments are recorded.","Releasing a hit without recording evidence and justification in the audit trail, which exposes the company to regulatory fines during trade compliance audits.","Documenting why an entity is NOT a match is just as critical as documenting why an entity IS a match. Auditors review release rationale during trade inspections.","Verified against uploaded source snapshot"
SPL-007,"No Match (Clean Fictional Partner)","Sanctioned Party List Screening",Beginner,"Automated Clearance / Clean Transaction Flow",ALL_ACTIVE_LISTS,NX-CUST-10006,"NEXUS TRAINING PARTNER 999",IN,NX-SO-800006,Standard Sales Order (TA),NX-MAT-100001,72000,false,0,"No matching entities or aliases detected across active sanctions databases","Screened — no potential match",NO_ACTION_REQUIRED,N/A,"Automated screening successful: 0 hits returned. Document cleared for immediate fulfillment.",RELEASED,"CLEARED: Feeder system document unblocked. No compliance hold applied.","ELIGIBLE_FOR_EXECUTION: Outbound delivery ready for immediate wave picking.","Observe how clean business partners pass through synchronous GTS screening without manual intervention, enabling frictionless logistics execution.","Assuming all transactions require human officer review. GTS is designed to automate 95%+ of clean transactions straight-through.","Straight-through processing (STP) is the primary ROI driver of SAP GTS. The screening index and exclusion words ensure clean orders flow instantly.","Verified against uploaded source snapshot"
SPL-008,"Incomplete Master Data (Missing Mandatory Attributes)","Sanctioned Party List Screening",Beginner,"Data Quality / Incomplete Information Management",N/A (Data Quality Guard),NX-CUST-10007,"GLOBAL TRADE LOGISTICS CO",,NX-SO-800007,Standard Sales Order (TA),NX-MAT-100001,35000,false,0,"Payload missing mandatory screening parameters (Country, Street, Tax Registration)","Insufficient data — request information",INSUFFICIENT_DATA,RC05,"Screening cannot be certified complete due to missing country and address data. Document remains on technical hold pending master data enrichment in S/4HANA.",UNDER_REVIEW,"DATA INCOMPLETE HOLD: Feeder sales order blocked pending master data maintenance in BP transaction.","ON HOLD: Warehouse execution suspended pending compliance review completion.","Understand why GTS prevents the release or screening clearance of partners with missing mandatory master data attributes (country, address, legal entity).","Releasing a document with missing data under the assumption that 'no hits were found'. Screening with missing data provides zero legal protection.","A screening engine is only as good as the input data. Missing country codes prevent jurisdiction-based sanctions filtering.","Verified against uploaded source snapshot"
SPL-009,"Multiple Ranked Candidate Review","Sanctioned Party List Screening",Advanced,"Multi-Candidate Adjudication / Hit Ranking",UN_Consolidated & OFAC_SDN,NX-CUST-10008,"AHMED MOHAMMED TRADING",AE,NX-SO-800008,Standard Sales Order (TA),NX-MAT-100001,112000,true,84,"Multiple candidate matches returned for common tokens 'AHMED' and 'MOHAMMED' across UN and OFAC databases","Potential match — manual review required",ESCALATE,RC04,"Multiple candidate hits identified across UN and OFAC lists. Escalated for candidate-by-candidate entity disambiguation.",UNDER_REVIEW,"COMPLIANCE REVIEW IN PROGRESS: Feeder system delivery block remains active pending four-eyes approval.","ON HOLD: Warehouse execution suspended pending compliance review completion.","Learn how SAP GTS ranks multiple potential candidates and why compliance officers must evaluate each candidate individually rather than relying on automated selection.","Reviewing only the top ranked result and ignoring other candidates that might represent the actual sanctioned entity.","High token frequency names require strict disambiguation using secondary identifiers such as passport numbers or national tax IDs.","Verified against uploaded source snapshot"
SPL-010,"Multi-Source Sanctions Match (UN & OFAC Cross-Listing)","Sanctioned Party List Screening",Advanced,"Cross-Jurisdictional Screening / Multi-Feed Reconciliation",UN_Consolidated & OFAC_SDN,NX-CUST-10009,"ABU SAYYAF GROUP",PH,NX-SO-800009,Standard Sales Order (TA),NX-MAT-100001,385000,true,100,"Simultaneous 100% exact match across UN Consolidated (QDe.001) and OFAC SDN List (Ent Num: 4688, [FTO] [SDGT])","Potential match — manual review required",CONFIRM_BLOCK,RC02,"CRITICAL COMPLIANCE BLOCK: Cross-jurisdictional match confirmed across UN Security Council (QDe.001) and US OFAC (Ent Num 4688 FTO/SDGT). Permanent hard block enforced.",CONFIRMED_BLOCK,"PERMANENT HARD BLOCK: Rejection Reason '98' (Compliance Block) set in VBAK.","CANCELLED: Inbound/Outbound delivery rejected. Stock released back to available inventory.","Understand the regulatory gravity of multi-source sanctions listings and how SAP GTS presents cross-jurisdictional evidence side-by-side to ensure compliance across all governing authorities.","Closing an investigation after satisfying one national list while failing to address obligations under other applicable international frameworks.","Cross-listed entities represent maximum compliance risk. Rejection Reason 98 must be immediately written to the feeder system.","Verified against uploaded source snapshot"
